_station_id_	n	b	s	time	mean of n samples from s	stdev of n samples				_docks_available_	n	b	s	time	mean of n samples from s	stdev of n samples				id_0	n	b	s	time	mean of n samples from s	stdev of n samples				_bikes_available_	n	b	s	time	mean of n samples from s	stdev of n samples				
	424000	497	852	457	1.4990377358490565	0.01992349477064654					424000	497	852	457	3.992705188679245	0.11439231885928028					424000	497	852	457	62.785884433962266	47.78245090733951					424000	497	852	457	3.517080188679245	0.08970193124021895				
	424000	470	902	669	1.001617924528302	0.019773152092773815					424000	470	902	669	7.710797169811321	0.11544351508501087					424000	470	902	669	58.926787735849054	47.09860456058968					424000	470	902	669	5.778417452830189	0.09012168778475244				
	424000	445	952	459	1.000627358490566	0.019645146985553686					424000	445	952	459	6.427990566037736	0.11562873708700956					424000	445	952	459	56.1343891509434	46.509779595800616					424000	445	952	459	7.09247641509434	0.09163163962111026				
	424000	423	1002	529	1.0006132075471699	0.01953680336892572					424000	423	1002	529	8.137792452830189	0.11696827397374927					424000	423	1002	529	53.48672641509434	45.999221117675496					424000	423	1002	529	5.372745283018868	0.09168609936691428				
	424000	403	1052	688	1.5030283018867925	0.019821422722088217					424000	403	1052	689	4.564379716981132	0.11610308884385215					424000	403	1052	689	50.902103773584905	45.55367553154651					424000	403	1052	689	2.9461792452830187	0.09006526597913107				
	424000	384	1102	787	0.9989622641509434	0.01972843862025147					424000	384	1102	787	6.781429245283019	0.1166127989333594					424000	384	1102	787	48.428865566037736	45.16258451542036					424000	384	1102	787	6.738778301886793	0.09123387478994928				
	424000	368	1152	535	1.0008349056603774	0.01965061859603926					424000	368	1152	535	7.141813679245283	0.11733859088507259					424000	368	1152	535	46.2017570754717	44.81747832823777					424000	368	1152	535	6.353200471698114	0.09206900505335446				
	424000	352	1202	564	1.002490566037736	0.019585906689322852					424000	352	1202	564	6.002594339622641	0.11743023232321183					424000	352	1202	564	44.21912735849057	44.51147074859562					424000	352	1202	564	7.509382075471698	0.09366549168573053				
	424000	338	1252	535	1.503686320754717	0.019853735875951885					424000	338	1252	535	4.512693396226415	0.11679887373758502					424000	338	1252	535	42.45715566037736	44.23891251495546					424000	338	1252	535	2.9920754716981133	0.09236787465148838				
	424000	325	1302	528	1.507323113207547	0.02011103411761839					424000	325	1302	528	3.0327169811320753	0.11556426528184142					424000	325	1302	528	41.21647169811321	43.99520053255448					424000	325	1302	528	4.47771462264151	0.09202453738554152				
	424000	313	1352	633	1.0013537735849056	0.02005417015322487					424000	313	1352	633	5.966691037735849	0.11578159303841172					424000	313	1352	633	39.65279245283019	43.776340228683836					424000	313	1352	633	7.575870283018868	0.09359186789963374				
	424000	302	1402	504	0.9996462264150944	0.020005075078967677					424000	302	1402	504	6.965334905660377	0.11649706862269041					424000	302	1402	504	38.05565330188679	43.579050503075024					424000	302	1402	504	6.550169811320755	0.09446092141205033				
